Zona,Sexo,Edad,Relacion,Estado Civil,Lugar 5 años,Pueblo,Seguro Salud,Embarazo,Leer y Escribir,Sum y Mul,Nivel edu,Matricula,Prox Nivel ed,Ocupacion
Urbana,Mujer,44,2,Casado/a,1,1,2,2,no,si,21,no,0,0
Urbana,Hombre,19,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Hombre,16,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Hombre,13,3,Solero/a,1,2,6,0,si,si,41,si,42,0
Urbana,Mujer,11,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,7,3,Solero/a,1,2,6,0,si,si,13,si,41,0
Urbana,Mujer,4,3,Solero/a,4,2,6,0,no,no,11,no,0,0
Urbana,Mujer,21,3,Solero/a,1,2,1,2,si,si,42,no,0,1
Urbana,Mujer,1,9,Solero/a,4,2,6,0,no,no,0,no,0,0
Urbana,Mujer,49,1,Separado/a,1,1,2,2,si,si,21,no,0,1
Urbana,Hombre,20,3,Solero/a,1,1,6,0,si,si,42,no,0,1
Urbana,Mujer,64,1,Separado/a,1,2,1,0,si,si,21,no,0,3
Urbana,Mujer,52,1,Separado/a,1,1,6,0,si,si,72,no,0,1
Urbana,Mujer,25,3,Solero/a,1,2,2,3,si,si,79,no,0,1
Urbana,Mujer,22,3,Solero/a,1,2,6,3,si,si,42,si,72,0
Urbana,Hombre,58,1,Casado/a,1,1,2,0,si,si,76,no,0,1
Urbana,Mujer,59,2,Casado/a,1,2,6,0,si,si,21,no,0,3
Urbana,Hombre,41,1,Casado/a,1,1,1,0,si,si,77,no,0,3
Urbana,Mujer,36,2,Casado/a,1,1,1,2,si,si,81,no,0,0
Urbana,Hombre,13,3,Solero/a,1,1,6,0,si,si,42,si,42,0
Urbana,Mujer,9,3,Solero/a,1,1,1,0,si,si,41,si,41,0
Urbana,Hombre,2,3,Solero/a,4,1,1,0,no,no,0,no,0,0
Urbana,Hombre,30,1,Casado/a,1,1,2,0,si,si,72,no,0,1
Urbana,Mujer,29,2,Casado/a,1,1,2,2,si,si,72,si,72,1
Urbana,Mujer,6,3,Solero/a,1,2,2,0,si,si,13,si,41,0
Urbana,Hombre,2,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Mujer,40,1,Separado/a,1,1,6,2,si,si,72,no,0,3
Urbana,Mujer,11,3,Solero/a,1,1,6,0,si,si,41,si,41,0
Urbana,Mujer,9,3,Solero/a,1,1,6,0,si,si,41,si,41,0
Urbana,Hombre,4,3,Solero/a,4,1,1,0,no,no,11,si,13,0
Urbana,Mujer,47,1,Casado/a,1,1,6,2,si,si,23,no,0,0
Urbana,Hombre,49,2,Casado/a,1,1,6,0,si,si,23,no,0,1
Urbana,Mujer,29,3,Solero/a,1,1,2,3,si,si,72,si,72,0
Urbana,Mujer,27,3,Solero/a,1,1,2,3,si,si,72,si,72,0
Urbana,Hombre,22,3,Solero/a,1,1,6,0,si,si,71,si,71,0
Urbana,Mujer,88,7,Viudo/a,1,1,6,0,si,si,21,no,0,0
Urbana,Hombre,34,1,Casado/a,1,1,6,0,si,si,32,no,0,3
Urbana,Mujer,31,2,Casado/a,1,1,6,2,si,si,32,no,0,0
Urbana,Hombre,12,3,Solero/a,1,1,6,0,si,si,41,si,42,0
Urbana,Hombre,10,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,8,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,4,3,Solero/a,4,2,1,0,no,no,11,si,13,0
Urbana,Hombre,50,1,Casado/a,1,1,6,0,si,si,23,no,0,3
Urbana,Mujer,47,2,Casado/a,1,1,6,2,si,si,23,no,0,0
Urbana,Hombre,26,3,Solero/a,1,2,6,0,si,si,32,no,0,3
Urbana,Hombre,24,3,Solero/a,1,2,6,0,si,si,72,no,0,6
Urbana,Hombre,14,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Mujer,12,3,Solero/a,1,2,6,0,si,si,41,si,42,0
Urbana,Hombre,9,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,5,3,Solero/a,1,2,6,0,no,no,13,si,13,0
Urbana,Hombre,54,1,Casado/a,1,1,6,0,si,si,22,no,0,3
Urbana,Mujer,45,2,Casado/a,1,1,6,2,si,si,22,no,0,3
Urbana,Hombre,19,3,Solero/a,1,1,6,0,si,si,42,no,0,3
Urbana,Hombre,16,3,Solero/a,1,2,6,0,si,si,42,si,42,6
Urbana,Mujer,13,3,Solero/a,1,2,6,3,si,si,42,si,42,6
Urbana,Hombre,32,1,Casado/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,31,2,Casado/a,1,1,1,2,si,si,32,no,0,0
Urbana,Mujer,13,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Mujer,11,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,3,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,56,1,Viudo/a,1,1,6,0,si,si,21,no,0,3
Urbana,Mujer,37,3,Solero/a,1,1,1,3,si,si,31,no,0,8
Urbana,Hombre,28,1,Concubino/a,1,2,2,0,si,si,32,no,0,1
Urbana,Mujer,27,2,Concubino/a,1,2,6,2,si,si,77,no,0,0
Urbana,Hombre,9,3,Solero/a,1,2,2,0,si,si,41,si,41,0
Urbana,Mujer,5,3,Solero/a,1,2,2,0,no,no,13,si,13,0
Urbana,Mujer,3,3,Solero/a,4,2,6,0,no,no,0,no,0,0
Urbana,Hombre,0,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Hombre,23,1,Concubino/a,1,1,2,0,si,si,42,no,0,1
Urbana,Mujer,23,2,Concubino/a,1,2,2,2,si,si,77,no,0,0
Urbana,Hombre,3,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Hombre,57,1,Casado/a,1,1,6,0,si,si,21,no,0,3
Urbana,Mujer,55,2,Casado/a,1,1,6,0,si,si,21,no,0,6
Urbana,Hombre,33,3,Solero/a,1,1,6,0,si,si,32,si,72,1
Urbana,Hombre,30,3,Solero/a,1,1,6,0,si,si,32,no,0,1
Urbana,Mujer,27,3,Solero/a,1,1,6,3,si,si,32,no,0,1
Urbana,Mujer,22,3,Solero/a,1,2,6,3,si,si,42,no,0,1
Urbana,Hombre,19,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Hombre,15,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Mujer,31,1,Solero/a,1,2,6,2,si,si,77,no,0,8
Urbana,Mujer,1,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,38,1,Casado/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,33,2,Casado/a,1,2,6,2,si,si,31,no,0,0
Urbana,Mujer,15,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Mujer,10,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,6,3,Solero/a,1,2,6,0,si,si,13,si,41,0
Urbana,Hombre,80,1,Casado/a,1,1,2,0,si,si,22,no,0,0
Urbana,Mujer,78,2,Casado/a,1,1,2,0,si,no,22,no,0,0
Urbana,Mujer,22,1,Solero/a,2,2,6,3,si,si,72,si,72,0
Urbana,Mujer,16,6,Solero/a,2,2,6,3,si,si,42,si,42,0
Urbana,Hombre,32,1,Concubino/a,1,1,1,0,si,si,31,no,0,1
Urbana,Mujer,28,2,Concubino/a,1,1,1,2,si,si,31,no,0,0
Urbana,Mujer,1,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,0,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,52,1,Separado/a,1,2,6,0,si,si,21,no,0,1
Urbana,Hombre,65,1,Casado/a,1,1,1,0,si,si,21,no,0,3
Urbana,Mujer,64,2,Casado/a,1,1,1,0,si,si,21,no,0,6
Urbana,Hombre,42,1,Casado/a,1,2,2,0,si,si,32,no,0,3
Urbana,Mujer,35,2,Casado/a,1,2,2,2,si,si,72,no,0,1
Urbana,Hombre,12,3,Solero/a,1,2,2,0,si,si,41,si,42,0
Urbana,Hombre,8,3,Solero/a,1,2,2,0,si,si,41,si,41,0
Urbana,Hombre,33,1,Concubino/a,1,2,1,0,no,si,31,no,0,1
Urbana,Mujer,29,2,Concubino/a,1,2,1,2,si,si,32,no,0,0
Urbana,Hombre,10,3,Solero/a,1,2,1,0,si,si,41,si,41,0
Urbana,Mujer,3,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,68,1,Viudo/a,1,2,1,0,si,si,21,no,0,1
Urbana,Hombre,17,3,Solero/a,1,2,6,0,no,no,11,no,0,0
Urbana,Hombre,60,1,Casado/a,1,2,1,0,si,si,22,no,0,3
Urbana,Mujer,60,2,Casado/a,1,2,1,0,si,si,22,no,0,0
Urbana,Mujer,25,3,Solero/a,1,2,1,3,si,si,72,si,72,0
Urbana,Hombre,33,1,Casado/a,1,2,2,0,si,si,76,no,0,1
Urbana,Mujer,32,2,Casado/a,1,2,2,2,si,si,76,no,0,1
Urbana,Hombre,5,3,Solero/a,1,2,2,0,no,no,11,no,0,0
Urbana,Hombre,46,1,Casado/a,1,2,1,0,si,si,23,no,0,3
Urbana,Mujer,42,2,Casado/a,1,2,6,2,si,si,23,no,0,3
Urbana,Hombre,19,3,Solero/a,1,2,6,0,si,si,42,no,0,1
Urbana,Hombre,8,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,3,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,54,1,Casado/a,1,1,2,0,si,si,74,no,0,1
Urbana,Mujer,46,2,Casado/a,1,2,2,2,si,si,77,no,0,1
Urbana,Hombre,9,3,Solero/a,1,2,1,0,si,si,41,si,41,0
Urbana,Mujer,8,3,Solero/a,1,2,1,0,si,si,41,si,41,0
Urbana,Mujer,26,12,Casado/a,1,2,6,2,si,si,32,no,0,8
Urbana,Mujer,4,13,Solero/a,4,2,6,0,no,no,11,no,0,0
Urbana,Mujer,2,13,Solero/a,4,2,6,0,no,no,0,no,0,0
Urbana,Hombre,40,1,Casado/a,1,2,6,0,si,si,23,no,0,1
Urbana,Mujer,35,2,Casado/a,1,2,6,2,si,no,31,no,0,0
Urbana,Hombre,11,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,10,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,7,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,85,1,Casado/a,1,1,1,0,si,si,21,no,0,0
Urbana,Mujer,75,2,Casado/a,1,1,1,0,si,si,21,no,0,0
Urbana,Mujer,31,4,Casado/a,1,1,1,2,si,si,32,no,0,1
Urbana,Hombre,46,5,Casado/a,1,2,1,0,si,si,22,no,0,1
Urbana,Hombre,2,9,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,52,1,Separado/a,1,1,1,0,si,si,32,no,0,3
Urbana,Mujer,28,3,Casado/a,1,2,6,2,si,si,32,no,0,1
Urbana,Hombre,25,3,Solero/a,1,2,1,0,si,si,42,no,0,1
Urbana,Mujer,18,3,Solero/a,1,2,1,3,si,si,42,si,42,0
Urbana,Hombre,36,1,Casado/a,1,2,2,0,si,si,77,no,0,1
Urbana,Mujer,35,2,Casado/a,1,2,2,2,si,si,72,si,72,0
Urbana,Hombre,9,3,Solero/a,1,2,2,0,si,si,41,si,41,0
Urbana,Hombre,7,3,Solero/a,1,2,2,0,si,no,41,si,41,0
Urbana,Hombre,68,1,Casado/a,1,1,1,0,si,si,21,no,0,0
Urbana,Mujer,63,2,Casado/a,1,1,1,0,si,si,21,no,0,0
Urbana,Hombre,75,1,Casado/a,1,1,6,0,si,si,23,no,0,0
Urbana,Mujer,62,2,Casado/a,1,1,6,0,si,si,22,no,0,0
Urbana,Hombre,25,1,Concubino/a,1,2,1,0,si,si,77,no,0,1
Urbana,Mujer,25,2,Concubino/a,1,2,6,2,si,si,77,no,0,1
Urbana,Hombre,7,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,55,1,Viudo/a,1,2,6,0,si,si,21,no,0,3
Urbana,Mujer,36,1,Separado/a,1,2,6,2,si,si,32,no,0,1
Urbana,Hombre,16,3,Solero/a,1,2,6,0,si,si,42,si,42,0
Urbana,Mujer,14,3,Solero/a,1,2,6,3,no,no,11,no,0,0
Urbana,Mujer,5,3,Solero/a,1,2,6,0,no,no,11,si,13,0
Urbana,Hombre,25,1,Casado/a,1,2,6,0,si,si,42,no,0,3
Urbana,Mujer,22,2,Casado/a,1,2,6,2,si,si,42,no,0,0
Urbana,Mujer,5,3,Solero/a,1,2,6,0,no,no,13,si,13,0
Urbana,Mujer,4,3,Solero/a,4,2,6,0,no,no,11,si,13,0
Urbana,Hombre,35,1,Casado/a,1,2,2,0,si,si,72,no,0,1
Urbana,Mujer,33,2,Casado/a,1,2,2,2,si,si,32,no,0,0
Urbana,Hombre,17,3,Solero/a,1,2,2,0,si,si,42,si,42,0
Urbana,Hombre,15,3,Solero/a,1,2,2,0,si,si,42,si,42,0
Urbana,Mujer,7,3,Solero/a,1,2,2,0,si,si,13,si,41,0
Urbana,Mujer,1,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Hombre,31,1,Casado/a,1,2,3,0,si,si,32,no,0,1
Urbana,Mujer,30,2,Casado/a,1,2,3,2,si,si,32,no,0,8
Urbana,Hombre,11,3,Solero/a,1,2,3,0,si,si,41,si,41,0
Urbana,Mujer,8,3,Solero/a,1,2,3,0,si,si,41,si,41,0
Urbana,Mujer,39,1,Viudo/a,1,2,6,2,si,si,32,no,0,1
Urbana,Mujer,18,3,Solero/a,1,2,6,3,si,si,42,no,0,0
Urbana,Mujer,17,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Mujer,14,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Mujer,3,3,Solero/a,4,2,3,0,no,no,0,no,0,0
Urbana,Hombre,86,1,Casado/a,1,1,2,0,si,si,23,no,0,0
Urbana,Mujer,78,2,Casado/a,1,1,2,0,no,si,11,no,0,0
Urbana,Mujer,53,3,Solero/a,1,2,2,0,si,si,23,no,0,1
Urbana,Hombre,39,1,Concubino/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,31,2,Concubino/a,1,2,1,2,si,si,32,no,0,8
Urbana,Mujer,0,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,26,1,Concubino/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,24,2,Concubino/a,1,2,6,2,si,si,42,no,0,0
Urbana,Mujer,6,3,Solero/a,1,2,6,0,si,si,13,si,41,0
Urbana,Hombre,34,1,Concubino/a,1,2,6,0,si,si,22,no,0,3
Urbana,Mujer,29,2,Concubino/a,1,2,6,2,si,si,23,no,0,0
Urbana,Mujer,13,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Hombre,3,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,31,1,Casado/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,31,2,Casado/a,1,2,6,2,si,si,32,no,0,0
Urbana,Hombre,12,3,Solero/a,1,2,6,0,si,si,41,si,42,0
Urbana,Mujer,8,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,0,3,Solero/a,4,3,1,0,no,no,0,no,0,0
Urbana,Mujer,32,1,Solero/a,1,2,6,3,si,si,32,si,72,1
Urbana,Hombre,24,6,Solero/a,1,2,1,0,si,si,72,no,0,3
Urbana,Mujer,19,6,Solero/a,1,2,2,3,si,si,42,si,72,1
Urbana,Hombre,24,1,Casado/a,1,2,1,0,si,si,77,no,0,1
Urbana,Mujer,24,2,Casado/a,1,2,1,2,si,si,77,no,0,0
Urbana,Mujer,2,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,0,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,75,1,Casado/a,1,1,2,0,si,si,21,no,0,0
Urbana,Mujer,75,2,Casado/a,1,1,2,0,si,si,21,no,0,0
Urbana,Hombre,40,1,Casado/a,1,1,1,0,si,si,32,no,0,1
Urbana,Mujer,29,2,Casado/a,1,1,1,2,si,si,32,no,0,0
Urbana,Mujer,1,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,53,1,Divorciado/a,1,1,2,0,si,si,71,no,0,1
Urbana,Hombre,32,3,Solero/a,1,1,2,0,si,si,72,si,73,1
Urbana,Mujer,23,3,Solero/a,1,1,2,3,si,si,42,no,0,0
Urbana,Mujer,18,3,Solero/a,1,1,2,3,si,si,42,no,0,0
Urbana,Hombre,61,1,Casado/a,1,1,2,0,si,si,22,no,0,0
Urbana,Mujer,58,2,Casado/a,1,1,2,0,si,no,21,no,0,0
Urbana,Hombre,30,1,Concubino/a,1,1,6,0,si,si,72,no,0,6
Urbana,Mujer,25,2,Concubino/a,1,1,6,2,si,si,72,no,0,3
Urbana,Mujer,7,3,Solero/a,1,1,6,0,si,si,41,si,41,0
Urbana,Mujer,53,1,Solero/a,1,1,1,0,si,si,21,no,0,0
Urbana,Hombre,22,3,Solero/a,1,2,6,0,si,si,42,no,0,1
Urbana,Mujer,25,3,Solero/a,1,2,2,2,si,si,32,no,0,1
Urbana,Hombre,5,9,Solero/a,1,2,2,0,no,si,11,si,13,0
Urbana,Mujer,2,9,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Mujer,94,7,Viudo/a,1,1,6,0,no,no,11,no,0,0
Urbana,Mujer,16,1,Solero/a,1,1,6,3,si,si,42,si,42,0
Urbana,Hombre,37,1,Solero/a,1,2,1,0,si,si,32,no,0,1
Urbana,Hombre,37,1,Casado/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,33,2,Casado/a,1,2,6,2,si,si,72,no,0,6
Urbana,Mujer,8,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,67,1,Casado/a,1,1,1,0,si,si,23,no,0,1
Urbana,Mujer,65,2,Casado/a,1,1,1,0,si,si,31,no,0,3
Urbana,Hombre,52,1,Separado/a,1,1,2,0,si,si,22,no,0,1
Urbana,Hombre,22,3,Solero/a,1,1,6,0,si,si,42,no,0,1
Urbana,Hombre,51,1,Casado/a,1,1,1,0,si,si,32,no,0,3
Urbana,Mujer,49,2,Casado/a,1,1,1,2,si,si,31,no,0,3
Urbana,Mujer,12,3,Solero/a,1,1,1,0,si,si,41,si,41,0
Urbana,Hombre,80,1,Casado/a,1,1,2,0,si,si,23,no,0,0
Urbana,Hombre,47,1,Casado/a,1,2,1,0,si,si,23,no,0,1
Urbana,Mujer,45,2,Casado/a,1,2,1,2,si,si,23,no,0,0
Urbana,Mujer,21,3,Solero/a,1,2,1,3,si,si,72,si,72,0
Urbana,Mujer,19,3,Solero/a,1,2,1,3,si,si,72,si,72,0
Urbana,Hombre,30,1,Concubino/a,1,2,1,0,si,si,32,no,0,3
Urbana,Mujer,22,2,Concubino/a,1,2,1,2,si,si,42,no,0,0
Urbana,Hombre,7,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,41,1,Viudo/a,1,1,6,2,si,si,21,no,0,3
Urbana,Hombre,22,3,Solero/a,1,2,6,0,si,si,72,si,72,0
Urbana,Hombre,21,3,Solero/a,1,2,6,0,si,si,42,no,0,0
Urbana,Hombre,17,3,Solero/a,1,2,6,0,si,si,42,no,0,1
Urbana,Mujer,71,1,Viudo/a,1,1,1,0,si,si,21,no,0,3
Urbana,Hombre,58,1,Casado/a,1,2,1,0,si,si,23,no,0,3
Urbana,Mujer,54,2,Casado/a,1,2,1,0,si,si,22,no,0,3
Urbana,Hombre,51,1,Casado/a,1,2,6,0,si,si,32,no,0,3
Urbana,Mujer,42,2,Casado/a,1,1,6,3,si,si,32,no,0,3
Urbana,Hombre,44,1,Casado/a,1,1,4,0,si,si,72,no,0,3
Urbana,Mujer,39,2,Casado/a,1,1,4,2,si,si,72,no,0,1
Urbana,Hombre,11,3,Solero/a,1,2,4,0,si,si,41,si,41,0
Urbana,Mujer,6,3,Solero/a,1,2,4,0,si,no,13,si,41,0
Urbana,Hombre,51,1,Casado/a,1,1,6,0,si,si,23,no,0,1
Urbana,Mujer,47,2,Casado/a,1,1,6,2,si,si,23,no,0,3
Urbana,Hombre,23,3,Solero/a,1,1,6,0,si,si,42,no,0,3
Urbana,Hombre,51,1,Casado/a,1,1,6,0,si,si,23,no,0,4
Urbana,Mujer,49,2,Casado/a,1,1,6,2,si,si,21,no,0,3
Urbana,Hombre,10,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,9,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Hombre,82,1,Solero/a,1,1,6,0,si,si,21,no,0,3
Urbana,Hombre,27,10,Solero/a,1,2,6,0,si,si,32,no,0,1
Urbana,Mujer,46,1,Casado/a,1,1,6,2,si,si,23,no,0,3
Urbana,Mujer,21,3,Solero/a,1,2,6,2,si,si,72,si,72,1
Urbana,Mujer,28,1,Solero/a,1,1,6,3,si,si,32,no,0,8
Urbana,Mujer,29,6,Solero/a,1,1,6,3,si,si,32,no,0,8
Urbana,Hombre,48,1,Casado/a,1,2,6,0,si,si,22,no,0,1
Urbana,Mujer,40,2,Casado/a,1,1,6,2,si,si,21,no,0,3
Urbana,Mujer,21,3,Solero/a,1,2,6,3,si,si,42,no,0,1
Urbana,Mujer,13,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Mujer,11,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,8,3,Solero/a,1,2,6,0,si,si,41,si,41,0
Urbana,Mujer,5,3,Solero/a,1,2,6,0,no,no,11,no,0,0
Urbana,Mujer,18,3,Concubino/a,1,2,6,2,si,si,42,no,0,6
Urbana,Hombre,18,5,Concubino/a,1,2,6,0,si,si,42,no,0,1
Urbana,Mujer,0,9,Solero/a,4,2,6,0,no,no,0,no,0,0
Urbana,Hombre,36,1,Casado/a,1,2,2,0,si,si,32,no,0,1
Urbana,Mujer,34,2,Casado/a,1,2,2,2,si,si,32,no,0,0
Urbana,Hombre,16,3,Solero/a,1,2,2,0,si,si,42,si,42,0
Urbana,Mujer,8,3,Solero/a,1,2,2,0,si,si,41,si,41,0
Urbana,Hombre,70,1,Casado/a,1,2,6,0,si,si,23,no,0,4
Urbana,Mujer,69,2,Casado/a,1,2,6,0,si,si,23,no,0,0
Urbana,Mujer,51,3,Divorciado/a,1,2,2,0,si,si,72,no,0,1
Urbana,Mujer,17,9,Solero/a,1,2,2,3,si,si,42,si,42,0
Urbana,Hombre,65,1,Casado/a,1,1,2,0,si,si,21,no,0,0
Urbana,Mujer,64,2,Casado/a,1,1,2,0,si,si,21,no,0,0
Urbana,Mujer,34,3,Solero/a,1,2,2,3,si,si,72,no,0,1
Urbana,Hombre,28,3,Solero/a,1,2,6,0,si,si,72,si,72,0
Urbana,Hombre,33,1,Casado/a,1,2,2,0,si,si,77,no,0,1
Urbana,Mujer,32,2,Casado/a,1,2,2,2,si,si,72,no,0,1
Urbana,Hombre,6,3,Solero/a,1,2,2,0,si,si,13,si,41,0
Urbana,Hombre,4,3,Solero/a,4,2,2,0,no,no,11,si,13,0
Urbana,Hombre,44,1,Casado/a,1,2,2,0,si,si,72,no,0,1
Urbana,Mujer,42,2,Casado/a,1,2,2,2,si,si,72,si,72,3
Urbana,Hombre,21,3,Solero/a,1,2,6,0,si,si,72,si,72,0
Urbana,Hombre,16,3,Solero/a,1,2,2,0,si,si,42,si,42,0
Urbana,Mujer,7,3,Solero/a,1,2,2,0,si,si,41,si,41,0
Urbana,Hombre,56,1,Casado/a,1,2,6,0,si,si,23,no,0,3
Urbana,Mujer,53,2,Casado/a,1,2,6,0,si,si,23,no,0,0
Urbana,Hombre,24,3,Solero/a,1,2,6,0,si,si,72,si,72,0
Urbana,Hombre,20,3,Solero/a,1,2,6,0,si,si,72,si,72,0
Urbana,Mujer,14,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Hombre,39,1,Casado/a,1,1,2,0,si,si,77,no,0,3
Urbana,Mujer,37,2,Casado/a,1,1,2,2,si,si,72,no,0,1
Urbana,Mujer,16,3,Solero/a,1,1,2,3,si,si,42,si,42,0
Urbana,Mujer,14,3,Solero/a,1,1,2,3,si,si,42,si,42,0
Urbana,Mujer,66,7,Viudo/a,1,1,2,0,si,si,21,no,0,3
Urbana,Hombre,40,1,Concubino/a,1,1,6,0,si,si,21,no,0,3
Urbana,Mujer,39,2,Concubino/a,1,1,6,2,si,si,31,no,0,1
Urbana,Mujer,6,3,Solero/a,1,1,6,0,si,si,13,si,41,0
Urbana,Mujer,45,1,Separado/a,1,2,6,2,si,si,21,no,0,0
Urbana,Hombre,28,3,Solero/a,1,2,6,0,si,si,32,no,0,1
Urbana,Hombre,25,3,Solero/a,1,2,6,0,si,si,32,no,0,3
Urbana,Hombre,44,1,Casado/a,1,2,3,0,si,si,23,no,0,4
Urbana,Mujer,42,2,Casado/a,1,1,3,2,si,si,21,no,0,0
Urbana,Hombre,23,3,Solero/a,1,2,6,0,si,si,42,no,0,1
Urbana,Hombre,20,3,Solero/a,1,2,3,0,si,si,42,no,0,0
Urbana,Hombre,19,3,Solero/a,1,2,6,0,si,si,42,no,0,0
Urbana,Mujer,14,3,Solero/a,1,2,6,3,si,si,42,si,42,0
Urbana,Hombre,42,1,Casado/a,1,2,2,0,si,si,23,no,0,4
Urbana,Mujer,40,2,Casado/a,1,2,2,2,si,si,77,no,0,1
Urbana,Mujer,22,3,Solero/a,1,2,2,3,si,si,72,si,72,3
